/* DATA DESCRIPTION:
Citation:	Tiedemann, R et al. (1994): Dust content in sediments of ODP Hole 108-659A in the North Atlantic. doi:10.1594/PANGAEA.52518, 
	In Supplement to: Tiedemann, Ralf; Sarnthein, Michael; Shackleton, Nicholas J (1994): Astronomic timescale for the Pliocene Atlantic d18O and dust flux records of Ocean Drilling Program site 659. Paleoceanography, 9(4), 619-638, doi:10.1029/94PA00208
Project(s):	Helmholtz Centre for Ocean Research Kiel (GEOMAR) (URI: http://www.geomar.de/en/)
	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 18.077200 * LONGITUDE: -21.026200
	DATE/TIME START: 1986-03-09T09:30:00 * DATE/TIME END: 1986-03-11T05:30:00
	MINIMUM DEPTH, sediment/rock: 0.1 m * MAXIMUM DEPTH, sediment/rock: 149.6 m
Event(s):	108-659A * LATITUDE: 18.077200 * LONGITUDE: -21.026200 * DATE/TIME START: 1986-03-09T09:30:00 * DATE/TIME END: 1986-03-11T05:30:00 * ELEVATION: -3082.0 m * RECOVERY: 174.95 m * PENETRATION: 273.80 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Leg108 (URI: doi:10.2973/odp.proc.ir.108.1988) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling * COMMENT: 29 cores; 273.8 m cored; 0 m drilled; 63.9 % recovery
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * Geocode
	Dust, aeolian [%] (Dust) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * METHOD: see comment * COMMENT: Depth is a result from correlations between holes A, B and C (see Depth, composite). The noncarbonate fraction (100% minus %CaCO3) is considered to be purely eaolian, because the concentrations of biogenic opal (<2%), organic carbon (<0.5%), and volcanic glass are negligible and fluvial sediment supply and turbidites cannot reach this position (Tiedemann et al., 1989)
	Density, dry bulk [g/cm**3] (DBD) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * COMMENT: Depth is a result from correlations between holes A, B and C (see Depth, composite).
	Accumulation rate, dust [g/cm**2/ka] (Acc rate dust) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * METHOD: calculated * COMMENT: Depth is a result from correlations between holes A, B and C (see Depth, composite). The noncarbonate fraction (100% minus %CaCO3) is considered to be purely eaolian, because the concentrations of biogenic opal (<2%), organic carbon (<0.5%), and volcanic glass are negligible and fluvial sediment supply and turbidites cannot reach this position (Tiedemann et al., 1989)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	3720 data points
*/
Depth [m]	Dust [%]	DBD [g/cm**3]	Acc rate dust [g/cm**2/ka]
16.93	28.02	0.91	1.123
17.06	21.72	0.92	0.880
17.18	26.31	0.92	1.066
17.28	25.44	0.92	0.801
17.41	29.28	0.92	0.787
17.56	24.62	0.92	0.662
17.66	18.38	0.92	0.480
17.78	27.82	0.92	0.709
17.90	21.80	0.92	0.556
18.04	35.07	0.92	0.894
18.18	31.63	0.93	0.815
18.43	38.17	0.93	0.984
18.56	35.76	0.93	0.921
18.73	49.57	0.93	1.277
18.91	44.43	0.93	1.145
18.99	50.07	0.93	1.509
19.36	24.42	0.94	0.543
19.51	29.72	0.94	0.529
19.66	28.06	0.94	0.816
19.81	33.13	0.94	0.991
19.89	37.90	0.94	1.198
20.03	64.69	0.93	2.023
20.19	34.89	0.92	1.274
20.33	54.72	0.92	2.517
20.47	28.24	0.91	1.285
20.61	33.60	0.90	1.512
20.72	50.04	0.90	2.252
20.85	42.73	0.89	1.901
20.94	44.20	0.88	0.685
21.17	50.41	0.87	0.616
21.35	45.00	0.86	0.544
21.53	52.75	0.86	0.961
21.69	69.68	0.86	2.966
21.83	36.42	0.87	1.568
21.96	37.84	0.87	1.630
22.11	58.40	0.87	2.515
22.34	30.73	0.87	1.323
22.44	24.50	0.87	1.055
22.52	30.55	0.88	0.951
22.57	27.02	0.88	0.578
22.68	27.57	0.88	0.589
22.77	22.00	0.88	0.470
22.85	37.00	0.88	0.791
22.98	54.22	0.88	1.159
23.03	65.57	0.88	1.227
23.19	46.35	0.88	0.835
23.33	25.85	0.88	0.466
23.46	28.78	0.88	0.523
23.61	41.90	0.88	0.768
23.86	40.40	0.88	0.870
24.02	39.20	0.88	1.162
24.20	58.30	0.88	1.728
24.31	39.33	0.88	1.166
24.35	38.30	0.88	1.135
24.53	42.11	0.88	1.248
24.69	37.14	0.88	1.101
24.83	28.08	0.89	0.811
24.96	33.70	0.89	0.937
25.02	40.76	0.89	1.134
25.11	49.50	0.89	1.377
25.22	69.18	0.89	1.924
25.33	54.49	0.89	1.038
25.42	35.08	0.89	0.482
25.52	43.85	0.90	0.610
25.57	39.66	0.90	0.552
25.67	26.86	0.90	0.506
25.75	21.61	0.90	0.732
25.85	31.10	0.90	1.053
26.03	34.26	0.90	1.160
26.19	46.81	0.90	1.585
26.33	34.36	0.90	1.163
26.46	34.26	0.90	0.772
26.61	41.60	0.90	0.727
26.79	48.86	0.91	1.103
27.17	59.57	0.91	1.549
27.35	58.60	0.91	1.524
27.47	43.05	0.91	1.119
27.56	60.53	0.91	1.574
27.65	63.54	0.91	1.652
27.66	62.19	0.91	1.617
27.73	59.36	0.91	1.543
27.83	44.96	0.91	1.169
27.86	19.47	0.92	0.512
27.99	18.00	0.92	0.473
28.04	18.64	0.92	0.490
28.15	15.99	0.92	0.420
28.19	31.74	0.92	0.834
28.25	34.67	0.92	0.911
28.26	54.65	0.92	1.436
28.39	50.55	0.92	1.181
28.57	46.55	0.92	1.007
28.86	37.09	0.92	0.802
28.87	25.92	0.93	0.567
29.04	35.16	0.93	0.769
29.06	37.72	0.93	0.825
29.19	46.70	0.93	1.021
29.20	43.00	0.93	0.940
29.26	25.22	0.93	0.639
29.35	22.00	0.93	0.623
29.37	22.55	0.93	0.638
29.52	37.00	0.92	1.036
29.68	43.64	0.91	1.209
29.83	40.59	0.89	1.099
29.96	34.31	0.88	1.009
30.11	31.10	0.87	0.988
30.26	49.60	0.88	1.593
30.40	45.13	0.90	1.483
30.54	33.09	0.92	1.111
30.68	15.90	0.93	0.540
30.69	14.14	0.93	0.455
30.83	24.10	0.95	0.789
31.00	32.00	0.95	1.059
31.16	55.80	0.94	1.848
31.29	36.87	0.94	1.221
31.46	60.08	0.94	1.990
31.59	26.30	0.93	0.862
31.74	21.16	0.93	0.693
31.94	28.45	0.93	0.932
32.04	32.44	0.92	1.052
32.16	30.94	0.92	1.003
32.33	31.10	0.92	1.008
32.50	48.00	0.92	1.556
32.64	48.23	0.91	1.547
32.74	49.44	0.91	1.585
32.81	51.42	0.91	1.649
32.94	44.81	0.91	1.437
33.07	39.40	0.90	1.249
33.22	24.34	0.90	0.573
33.34	32.11	0.90	0.571
33.46	36.87	0.89	0.649
33.59	21.66	0.89	0.381
33.72	24.82	0.88	0.432
33.83	49.50	0.88	0.861
33.92	53.55	0.88	0.931
33.98	51.83	0.88	0.902
34.01	52.00	0.88	0.905
34.07	52.48	0.88	0.687
34.09	60.60	0.88	0.455
34.12	50.30	0.88	0.378
34.36	25.22	0.87	0.247
34.47	47.65	0.87	1.566
34.56	57.29	0.87	1.883
34.61	42.30	0.87	1.390
34.73	36.99	0.87	1.216
34.89	64.46	0.87	2.119
35.04	41.98	0.87	1.276
35.13	42.66	0.87	1.152
35.27	35.47	0.88	0.969
35.38	40.97	0.88	1.119
35.49	36.49	0.88	0.997
35.74	26.69	0.88	0.729
35.86	31.28	0.88	0.854
35.97	39.63	0.89	1.095
36.11	15.20	0.89	0.420
36.28	33.88	0.89	0.936
36.38	49.69	0.90	1.388
36.53	25.96	0.92	0.792
36.61	35.51	0.92	1.241
36.75	42.90	0.93	1.516
36.81	49.50	0.94	1.768
36.94	62.24	0.95	2.247
37.24	33.82	0.98	1.117
37.34	26.66	0.99	0.558
37.47	37.74	1.01	0.718
37.54	55.30	1.02	1.062
37.61	47.70	1.02	1.142
37.73	60.94	1.04	1.737
37.74	65.77	1.04	1.875
37.89	40.91	0.99	1.110
37.93	39.60	0.97	1.053
38.06	42.90	0.93	1.094
38.13	53.95	0.92	1.360
38.21	20.58	0.92	0.519
38.27	14.20	0.92	0.358
38.35	19.66	0.92	0.490
38.47	20.64	0.92	0.510
38.58	37.08	0.92	0.917
38.61	41.71	0.92	0.653
38.86	30.20	0.92	0.353
38.99	28.08	0.92	0.230
39.10	28.42	0.92	0.359
39.35	54.72	0.92	1.081
39.47	59.94	0.92	1.945
39.60	27.40	0.92	0.889
39.72	23.19	0.91	0.744
39.77	21.34	0.90	0.677
39.85	24.56	0.89	0.705
39.97	28.35	0.88	0.762
40.08	33.78	0.87	0.898
40.21	40.30	0.85	1.046
40.36	41.70	0.84	1.136
40.85	53.80	0.89	1.584
40.88	48.70	0.90	1.450
40.97	25.43	0.93	0.782
41.06	38.37	0.95	1.206
41.10	47.10	0.96	1.496
41.23	19.56	0.95	0.563
41.27	20.04	0.95	0.452
41.35	16.59	0.95	0.374
41.47	15.84	0.94	0.354
41.58	29.82	0.93	0.659
41.71	42.33	0.92	0.925
41.86	59.50	0.90	1.272
41.99	22.36	0.91	0.640
42.09	35.57	0.92	1.782
42.35	31.33	0.94	1.603
42.45	43.60	0.95	2.255
42.60	57.30	0.96	2.995
42.73	21.29	0.95	1.101
42.77	17.70	0.95	0.915
42.85	26.05	0.94	1.333
42.97	39.81	0.93	1.605
43.08	47.41	0.90	1.513
43.21	19.42	0.87	0.599
43.31	31.17	0.85	0.939
43.36	30.50	0.84	0.666
43.49	28.30	0.81	0.540
43.59	40.70	0.79	0.889
43.78	57.73	0.74	1.424
43.85	36.87	0.72	1.194
43.95	18.40	0.70	0.580
44.10	16.60	0.66	0.493
44.23	14.56	0.69	0.452
44.27	10.62	0.70	0.335
44.36	17.29	0.72	0.560
44.58	39.76	0.77	1.378
44.71	44.72	0.79	1.590
44.86	51.00	0.83	1.682
44.99	34.00	0.86	1.023
45.09	28.33	0.88	0.873
45.35	32.07	0.94	0.900
45.39	45.90	0.95	0.666
45.44	40.60	0.95	0.589
45.53	20.20	0.96	0.296
45.61	16.94	0.96	0.248
45.64	16.63	0.96	0.254
45.75	18.63	0.96	0.287
45.82	19.70	0.96	0.304
45.91	31.36	0.96	0.484
46.02	40.15	0.96	0.620
46.14	79.13	0.96	1.221
46.39	47.90	0.94	0.724
46.54	45.53	0.93	0.637
46.68	20.73	0.91	0.265
46.79	36.76	0.90	0.466
46.92	52.80	0.89	0.860
47.03	26.62	0.88	0.664
47.13	23.54	0.87	0.580
47.26	56.20	0.86	1.146
47.41	45.91	0.84	0.801
47.53	24.04	0.83	0.407
47.65	18.71	0.84	0.314
47.77	23.00	0.90	0.465
47.93	32.08	0.89	0.705
48.03	24.00	0.88	0.522
48.19	31.17	0.85	0.520
48.26	40.46	0.84	0.453
48.32	35.72	0.83	0.395
48.38	26.93	0.83	0.298
48.43	39.83	0.69	0.670
48.54	60.10	0.67	1.574
48.63	42.69	0.66	1.101
48.77	27.10	0.64	0.678
48.91	39.80	0.62	0.965
49.08	47.02	0.63	1.158
49.19	49.07	0.63	1.209
49.29	57.73	0.63	1.071
49.42	23.96	0.64	0.379
49.54	41.61	0.64	0.659
49.63	63.29	0.65	1.018
49.76	59.85	0.65	1.127
49.91	23.56	0.66	0.529
50.03	21.50	0.66	0.482
50.13	33.07	0.67	0.753
50.26	42.24	0.67	0.987
50.41	45.20	0.68	1.099
50.54	56.57	0.69	1.399
50.70	38.76	0.70	0.892
50.79	36.76	0.70	0.738
50.91	23.75	0.71	0.483
50.99	31.11	0.71	0.633
51.13	36.78	0.72	0.855
51.41	18.69	0.74	0.477
51.52	19.93	0.75	0.515
51.64	32.47	0.75	0.840
51.77	38.90	0.76	1.019
51.91	44.30	0.77	1.176
52.03	47.92	0.77	1.272
52.13	51.80	0.77	1.134
52.20	37.84	0.77	0.662
52.29	33.23	0.77	0.582
52.44	40.28	0.77	0.705
52.63	46.63	0.77	0.809
52.76	32.02	0.76	0.542
52.90	38.47	0.76	0.651
52.98	29.65	0.76	0.502
53.12	53.00	0.76	1.131
53.27	51.40	0.76	1.451
53.41	32.10	0.76	0.906
53.54	20.38	0.76	0.575
53.68	27.33	0.77	0.782
53.79	44.80	0.77	1.281
53.90	51.05	0.78	1.033
53.98	45.35	0.78	0.649
54.12	19.15	0.78	0.274
54.23	23.48	0.79	0.348
54.24	19.59	0.79	0.387
54.42	31.82	0.80	0.636
54.53	34.97	0.80	0.827
54.64	23.41	0.80	0.678
54.77	15.50	0.81	0.454
54.91	23.00	0.81	0.674
55.04	22.11	0.81	0.648
55.18	37.52	0.82	1.113
55.29	54.31	0.82	1.443
55.39	58.05	0.82	1.383
55.43	58.18	0.82	1.386
55.58	19.50	0.83	0.470
55.69	20.72	0.83	0.500
55.76	26.99	0.83	0.651
55.90	34.13	0.83	0.921
56.10	26.08	0.84	0.777
56.20	18.65	0.84	0.555
56.27	20.00	0.84	0.596
56.41	33.80	0.85	1.019
56.44	39.66	0.85	1.195
56.54	40.66	0.87	1.254
56.68	57.20	0.89	1.559
56.79	51.26	0.90	1.205
57.08	23.15	0.93	0.562
57.11	22.14	0.94	0.543
57.23	28.28	0.95	0.701
57.26	23.57	0.95	0.585
57.34	26.00	0.96	0.652
57.46	33.40	0.98	0.855
57.61	40.10	0.99	1.036
57.74	25.94	0.99	0.671
57.86	25.49	0.99	0.659
57.98	33.20	0.99	0.858
58.09	56.44	0.99	1.674
58.25	44.55	0.99	1.470
58.37	25.80	0.99	0.851
58.45	19.07	0.99	0.629
58.79	24.20	0.99	0.799
58.92	23.91	0.98	0.781
58.98	16.30	0.98	0.532
59.02	25.60	0.97	0.828
59.09	14.60	0.97	0.376
59.20	17.28	0.97	0.393
59.31	18.08	0.99	0.420
59.37	25.22	0.99	0.586
59.48	22.94	1.01	0.544
59.57	24.61	1.01	0.583
59.70	45.62	1.03	1.225
59.81	31.94	1.04	0.997
59.85	38.00	1.04	1.186
59.94	39.87	1.05	1.256
60.02	51.83	1.06	1.648
60.10	49.54	1.06	1.575
60.24	58.47	1.06	1.646
60.30	31.57	1.06	0.701
60.42	24.30	1.05	0.535
60.46	24.60	1.05	0.541
60.50	28.38	1.05	0.624
60.57	43.89	1.05	0.966
60.68	46.48	1.05	1.050
60.69	41.62	1.05	1.330
60.70	42.04	1.05	1.344
60.82	20.92	1.05	0.669
60.99	25.17	1.05	0.805
61.07	33.68	1.05	1.077
61.22	38.44	1.05	1.229
61.35	39.30	1.06	1.428
61.51	31.29	1.06	1.266
61.68	16.28	1.06	0.659
61.81	16.21	1.06	0.656
61.99	26.80	1.06	1.085
62.09	37.00	1.04	1.469
62.19	47.76	1.04	0.953
62.38	33.43	1.05	0.534
62.57	42.97	1.06	0.967
62.71	31.21	1.07	1.536
62.85	34.40	1.08	1.709
63.02	13.55	1.09	0.679
63.37	18.65	1.12	0.961
63.51	36.42	1.13	1.893
63.59	46.90	1.09	2.352
63.72	51.19	1.07	2.094
63.80	35.15	1.07	1.128
63.98	20.16	1.08	0.653
64.07	31.68	1.08	1.026
64.22	38.48	1.08	1.247
64.35	48.30	1.08	1.773
64.52	16.90	1.09	0.697
64.79	23.04	1.09	0.950
64.91	37.79	1.10	1.572
65.06	54.12	1.10	2.252
65.09	58.00	1.10	2.413
65.22	63.63	1.09	2.310
65.28	43.27	1.08	1.236
65.32	17.03	1.07	0.482
65.45	18.17	1.06	0.510
65.57	19.24	1.05	0.534
65.71	19.71	1.04	0.542
65.85	18.70	1.03	0.510
65.97	17.61	1.02	0.475
66.06	17.56	1.01	0.469
66.18	33.40	1.00	0.884
66.27	37.89	0.99	0.992
66.29	48.90	0.99	1.281
66.39	53.48	0.98	1.387
66.49	53.56	0.97	1.527
66.59	48.25	0.97	1.547
66.70	22.16	0.96	0.703
66.83	24.22	0.95	0.760
66.95	19.89	0.95	0.624
67.10	25.33	0.94	0.787
67.25	46.81	0.94	1.613
67.39	22.46	0.93	0.867
67.76	18.33	0.91	0.692
67.86	22.16	0.91	0.837
68.06	53.42	0.90	1.995
68.08	56.08	0.90	1.270
68.19	51.36	0.90	1.085
68.30	20.70	0.89	0.432
68.31	19.56	0.89	0.409
68.49	19.67	0.89	0.411
68.55	19.70	0.90	0.416
68.62	32.96	0.90	0.967
68.75	32.33	0.90	1.199
68.88	30.20	0.90	1.120
69.02	34.29	0.91	1.286
69.18	28.61	0.91	1.073
69.29	25.63	0.91	0.961
69.36	23.74	0.92	0.900
69.48	20.36	0.92	0.772
69.49	18.50	0.92	0.702
69.53	15.32	0.93	0.296
69.97	18.11	1.00	0.345
70.10	39.10	0.99	0.794
70.20	22.59	0.98	0.648
70.27	23.58	0.98	0.677
70.38	12.25	0.98	0.352
70.51	15.50	0.97	0.468
70.56	16.30	0.97	0.587
70.61	15.54	0.97	0.560
70.71	11.80	0.96	0.421
70.84	13.36	0.95	0.471
70.89	19.86	0.95	0.701
70.99	43.50	0.95	1.535
71.29	32.84	0.94	1.112
71.47	51.50	0.94	1.661
71.60	53.30	0.94	1.719
71.77	15.84	0.94	0.511
71.98	19.89	0.93	0.635
72.06	22.20	0.93	0.709
72.09	21.91	0.93	0.699
72.20	53.77	0.93	1.716
72.31	26.50	0.93	0.846
72.35	17.06	0.93	0.545
72.49	47.00	0.93	1.500
72.58	20.58	0.93	0.657
72.80	62.65	0.92	1.452
72.97	20.26	0.93	0.353
73.06	19.52	0.94	0.344
73.10	18.80	0.94	0.440
73.25	33.26	0.94	0.853
73.39	45.68	0.95	1.184
73.54	30.80	0.95	0.798
73.62	28.34	0.95	0.745
73.71	45.31	0.96	1.383
73.80	40.42	0.97	1.438
73.83	49.71	0.97	1.768
73.99	38.90	0.98	1.398
74.29	15.75	0.97	0.560
74.47	19.86	0.96	0.634
74.60	24.70	0.96	0.699
74.71	21.10	0.95	0.591
74.80	24.91	0.95	0.698
74.86	23.40	0.95	0.656
75.06	15.50	0.94	0.453
75.21	15.83	0.93	0.493
75.44	27.32	0.97	0.887
75.49	33.10	0.98	1.086
75.58	34.20	0.99	1.134
75.70	39.71	1.00	1.329
75.75	28.40	1.01	0.860
75.83	15.58	1.01	0.472
75.89	39.17	1.02	1.534
75.95	16.88	1.02	0.661
76.03	22.36	1.02	0.876
76.15	15.91	1.02	0.623
76.25	18.42	1.02	0.721
76.36	17.72	1.02	0.694
76.46	19.42	1.03	0.768
76.62	25.51	1.03	1.009
76.75	39.38	1.03	1.557
76.85	64.12	1.03	2.604
76.89	48.53	1.03	2.110
77.04	44.29	1.01	1.889
77.12	46.80	0.99	1.956
77.35	17.64	0.96	0.715
77.48	16.80	0.95	0.674
77.74	16.90	0.91	0.649
77.88	17.37	0.92	0.675
78.02	26.40	0.93	1.037
78.18	21.43	0.94	0.851
78.27	22.45	0.94	0.891
78.41	37.34	0.95	1.498
78.56	26.50	0.96	1.074
78.75	57.38	0.96	1.835
79.03	16.37	0.95	0.453
79.11	16.07	0.95	0.445
79.18	17.92	0.94	0.491
79.27	23.11	0.94	0.633
79.42	73.11	0.94	1.643
79.48	53.35	0.94	0.829
79.59	29.60	0.94	0.460
79.69	22.08	0.94	0.343
79.77	36.12	0.93	0.812
79.94	29.87	0.93	0.931
80.06	28.70	0.93	1.014
80.18	17.19	0.94	0.614
80.26	17.82	0.95	0.643
80.46	16.97	1.02	0.658
80.53	19.75	1.04	0.780
80.60	28.70	1.08	1.178
80.69	37.99	1.09	1.411
80.80	43.60	1.13	1.391
80.93	20.85	1.10	0.596
81.12	16.14	1.06	0.445
81.27	26.22	1.02	0.607
81.43	15.47	0.98	0.307
81.56	23.80	0.95	0.458
81.68	19.06	0.93	0.359
81.79	12.08	0.93	0.228
82.02	33.78	0.91	0.724
82.13	24.80	0.91	0.806
